time, voltage, celcious, Error, Derivative of Err, Integral of Error, time on 
0 , 2.224982 , 24.179304 , 0.000000, 96.413918
1 , 2.230623 , 24.007536 , 4.992464, 0.171768, 4.906580, 198.152649
2 , 2.227399 , 24.105690 , 4.894310, -0.098154, 9.849967, 294.787415
3 , 2.233040 , 23.933922 , 5.066078, 0.171768, 14.830161, 398.096558
4 , 2.233040 , 23.933922 , 5.066078, 0.000000, 19.896240, 499.246368
5 , 2.231429 , 23.982998 , 5.017002, -0.049076, 24.937780, 599.046570
6 , 2.230623 , 24.007536 , 4.992464, -0.024538, 29.942513, 698.674988
7 , 2.227399 , 24.105690 , 4.894310, -0.098154, 34.885899, 795.505981
8 , 2.220952 , 24.302004 , 4.697996, -0.196314, 39.682053, 887.404663
9 , 2.230623 , 24.007536 , 4.992464, 0.294468, 44.527283, 990.689453
10 , 2.224982 , 24.179304 , 4.820696, -0.171768, 49.433861, 1000.000000
11 , 2.223370 , 24.228382 , 4.771618, -0.049078, 54.230019, 1000.000000
12 , 2.227399 , 24.105690 , 4.894310, 0.122692, 59.062981, 1000.000000
13 , 2.224176 , 24.203842 , 4.796158, -0.098152, 63.908215, 1000.000000
14 , 2.225788 , 24.154766 , 4.845234, 0.049076, 68.728912, 1000.000000
15 , 2.226593 , 24.130228 , 4.869772, 0.024538, 73.586418, 1000.000000
16 , 2.229817 , 24.032076 , 4.967924, 0.098152, 78.505264, 1000.000000
17 , 2.232234 , 23.958460 , 5.041540, 0.073616, 83.509995, 1000.000000
18 , 2.222564 , 24.252920 , 4.747080, -0.294460, 88.404305, 1000.000000
19 , 2.227399 , 24.105690 , 4.894310, 0.147230, 93.224998, 1000.000000
20 , 2.227399 , 24.105690 , 4.894310, 0.000000, 98.119308, 1000.000000
21 , 2.224982 , 24.179304 , 4.820696, -0.073614, 102.976814, 1000.000000
22 , 2.228205 , 24.081152 , 4.918848, 0.098152, 107.846588, 1000.000000
23 , 2.220952 , 24.302004 , 4.697996, -0.220852, 112.655014, 1000.000000
24 , 2.221758 , 24.277466 , 4.722534, 0.024538, 117.365280, 1000.000000
25 , 2.226593 , 24.130228 , 4.869772, 0.147238, 122.161430, 1000.000000
26 , 2.229817 , 24.032076 , 4.967924, 0.098152, 127.080276, 1000.000000
