time, voltage, celcious, Error, Derivative of Err, Integral of Error, time on 
0 , 2.128278 , 27.123920 , 0.000000, 1000.000000
1 , 2.135531 , 26.903076 , 6.096924, 0.000000, 5.986502, 1000.000000
2 , 2.128278 , 27.123920 , 5.876080, 0.000000, 11.973003, 1000.000000
3 , 2.133114 , 26.976690 , 6.023310, 0.000000, 17.922699, 1000.000000
4 , 2.125055 , 27.222080 , 5.777920, 0.000000, 23.823315, 1000.000000
5 , 2.139560 , 26.780384 , 6.219616, 0.000000, 29.822083, 1000.000000
6 , 2.133114 , 26.976690 , 6.023310, 0.000000, 35.943546, 1000.000000
7 , 2.128278 , 27.123920 , 5.876080, 0.000000, 41.893242, 1000.000000
8 , 2.129890 , 27.074842 , 5.925158, 0.000000, 47.793861, 1000.000000
9 , 2.131502 , 27.025766 , 5.974234, 0.000000, 53.743557, 1000.000000
10 , 2.127473 , 27.148458 , 5.851542, 0.000000, 59.656445, 1000.000000
11 , 2.133114 , 26.976690 , 6.023310, 0.000000, 65.593872, 1000.000000
12 , 2.125055 , 27.222080 , 5.777920, 0.000000, 71.494484, 1000.000000
13 , 2.139560 , 26.780384 , 6.219616, 0.000000, 77.493256, 1000.000000
14 , 2.129084 , 27.099382 , 5.900618, 0.000000, 83.553375, 1000.000000
15 , 2.141978 , 26.706770 , 6.293230, 0.000000, 89.650299, 1000.000000
16 , 2.129084 , 27.099382 , 5.900618, 0.000000, 95.747223, 1000.000000
17 , 2.124249 , 27.246618 , 5.753382, 0.000000, 101.574219, 1000.000000
18 , 2.136337 , 26.878536 , 6.121464, 0.000000, 107.511642, 1000.000000
19 , 2.133114 , 26.976690 , 6.023310, 0.000000, 113.584030, 1000.000000
20 , 2.130696 , 27.050304 , 5.949696, 0.000000, 119.570534, 1000.000000
21 , 2.136337 , 26.878536 , 6.121464, 0.000000, 125.606110, 1000.000000
22 , 2.130696 , 27.050304 , 5.949696, 0.000000, 131.641693, 1000.000000
23 , 2.127473 , 27.148458 , 5.851542, 0.000000, 137.542313, 1000.000000
24 , 2.127473 , 27.148458 , 5.851542, 0.000000, 143.393860, 1000.000000
25 , 2.129890 , 27.074842 , 5.925158, 0.000000, 149.282211, 1000.000000
26 , 2.136337 , 26.878536 , 6.121464, 0.000000, 155.305527, 1000.000000
27 , 2.139560 , 26.780384 , 6.219616, 0.000000, 161.476074, 1000.000000
28 , 2.139560 , 26.780384 , 6.219616, 0.000000, 167.695694, 1000.000000
29 , 2.127473 , 27.148458 , 5.851542, 0.000000, 173.731277, 1000.000000
30 , 2.133114 , 26.976690 , 6.023310, 0.000000, 179.668701, 1000.000000
31 , 2.136337 , 26.878536 , 6.121464, 0.000000, 185.741089, 1000.000000
32 , 2.124249 , 27.246618 , 5.753382, 0.000000, 191.678513, 1000.000000
33 , 2.127473 , 27.148458 , 5.851542, 0.000000, 197.480972, 1000.000000
34 , 2.129890 , 27.074842 , 5.925158, 0.000000, 203.369324, 1000.000000
35 , 2.130696 , 27.050304 , 5.949696, 0.000000, 209.306747, 1000.000000
36 , 2.136337 , 26.878536 , 6.121464, 0.000000, 215.342331, 1000.000000
37 , 2.129084 , 27.099382 , 5.900618, 0.000000, 221.353378, 1000.000000
38 , 2.135531 , 26.903076 , 6.096924, 0.000000, 227.352142, 1000.000000
39 , 2.127473 , 27.148458 , 5.851542, 0.000000, 233.326370, 1000.000000
40 , 2.128278 , 27.123920 , 5.876080, 0.000000, 239.190186, 1000.000000
41 , 2.128278 , 27.123920 , 5.876080, 0.000000, 245.066269, 1000.000000
42 , 2.127473 , 27.148458 , 5.851542, 0.000000, 250.930084, 1000.000000
43 , 2.128278 , 27.123920 , 5.876080, 0.000000, 256.793884, 1000.000000
44 , 2.139560 , 26.780384 , 6.219616, 0.000000, 262.841736, 1000.000000
45 , 2.137949 , 26.829460 , 6.170540, 0.000000, 269.036804, 1000.000000
46 , 2.133919 , 26.952152 , 6.047848, 0.000000, 275.145996, 1000.000000
47 , 2.135531 , 26.903076 , 6.096924, 0.000000, 281.218384, 1000.000000
48 , 2.127473 , 27.148458 , 5.851542, 0.000000, 287.192627, 1000.000000
49 , 2.133919 , 26.952152 , 6.047848, 0.000000, 293.142334, 1000.000000
50 , 2.126667 , 27.172997 , 5.827003, 0.000000, 299.079773, 1000.000000
51 , 2.137949 , 26.829460 , 6.170540, 0.000000, 305.078552, 1000.000000
52 , 2.138755 , 26.804922 , 6.195078, 0.000000, 311.261353, 1000.000000
53 , 2.134725 , 26.927614 , 6.072386, 0.000000, 317.395081, 1000.000000
54 , 2.136337 , 26.878536 , 6.121464, 0.000000, 323.492004, 1000.000000
55 , 2.128278 , 27.123920 , 5.876080, 0.000000, 329.490784, 1000.000000
56 , 2.121831 , 27.320234 , 5.679766, 0.000000, 333.333344, 1000.000000
57 , 2.127473 , 27.148458 , 5.851542, 0.000000, 333.333344, 1000.000000
58 , 2.139560 , 26.780384 , 6.219616, 0.000000, 333.333344, 1000.000000
59 , 2.127473 , 27.148458 , 5.851542, 0.000000, 333.333344, 1000.000000
60 , 2.129890 , 27.074842 , 5.925158, 0.000000, 333.333344, 1000.000000
61 , 2.129084 , 27.099382 , 5.900618, 0.000000, 333.333344, 1000.000000
62 , 2.130696 , 27.050304 , 5.949696, 0.000000, 333.333344, 1000.000000
63 , 2.127473 , 27.148458 , 5.851542, 0.000000, 333.333344, 1000.000000
64 , 2.138755 , 26.804922 , 6.195078, 0.000000, 333.333344, 1000.000000
65 , 2.133919 , 26.952152 , 6.047848, 0.000000, 333.333344, 1000.000000
66 , 2.129084 , 27.099382 , 5.900618, 0.000000, 333.333344, 1000.000000
67 , 2.128278 , 27.123920 , 5.876080, 0.000000, 333.333344, 1000.000000
68 , 2.129084 , 27.099382 , 5.900618, 0.000000, 333.333344, 1000.000000
69 , 2.136337 , 26.878536 , 6.121464, 0.000000, 333.333344, 1000.000000
70 , 2.127473 , 27.148458 , 5.851542, 0.000000, 333.333344, 1000.000000
71 , 2.133114 , 26.976690 , 6.023310, 0.000000, 333.333344, 1000.000000
72 , 2.127473 , 27.148458 , 5.851542, 0.000000, 333.333344, 1000.000000
73 , 2.124249 , 27.246618 , 5.753382, 0.000000, 333.333344, 1000.000000
74 , 2.136337 , 26.878536 , 6.121464, 0.000000, 333.333344, 1000.000000
