time, voltage, celcious, Error, Derivative of Err, Integral of Error, time on 
0 , 2.132308 , 27.001228 , 0.000000, 1000.000000
1 , 2.131502 , 27.025766 , 1.974234, 0.000000, 1.984516, 1000.000000
2 , 2.137949 , 26.829460 , 2.170540, 0.000000, 4.052846, 1000.000000
3 , 2.134725 , 26.927614 , 2.072386, 0.000000, 6.168135, 1000.000000
4 , 2.133919 , 26.952152 , 2.047848, 0.000000, 8.220023, 1000.000000
5 , 2.124249 , 27.246618 , 1.753382, 0.000000, 10.110518, 1000.000000
6 , 2.130696 , 27.050304 , 1.949696, 0.000000, 11.950094, 1000.000000
7 , 2.128278 , 27.123920 , 1.876080, 0.000000, 13.849119, 1000.000000
8 , 2.127473 , 27.148458 , 1.851542, 0.000000, 15.697217, 1000.000000
9 , 2.139560 , 26.780384 , 2.219616, 0.000000, 17.715063, 1000.000000
10 , 2.136337 , 26.878536 , 2.121464, 0.000000, 19.865717, 1000.000000
11 , 2.137949 , 26.829460 , 2.170540, 0.000000, 21.989708, 1000.000000
12 , 2.139560 , 26.780384 , 2.219616, 0.000000, 24.160601, 1000.000000
13 , 2.139560 , 26.780384 , 2.219616, 0.000000, 26.353836, 1000.000000
14 , 2.142784 , 26.682230 , 2.317770, 0.000000, 28.593906, 1000.000000
15 , 2.127473 , 27.148458 , 1.851542, 0.000000, 30.647884, 1000.000000
16 , 2.134725 , 26.927614 , 2.072386, 0.000000, 32.577240, 1000.000000
17 , 2.131502 , 27.025766 , 1.974234, 0.000000, 34.565948, 1000.000000
18 , 2.130696 , 27.050304 , 1.949696, 0.000000, 36.491386, 1000.000000
19 , 2.131502 , 27.025766 , 1.974234, 0.000000, 38.414898, 1000.000000
20 , 2.136337 , 26.878536 , 2.121464, 0.000000, 40.422283, 1000.000000
21 , 2.130696 , 27.050304 , 1.949696, 0.000000, 42.415405, 1000.000000
22 , 2.137143 , 26.853998 , 2.146002, 0.000000, 44.418789, 1000.000000
23 , 2.137949 , 26.829460 , 2.170540, 0.000000, 46.530483, 1000.000000
24 , 2.137949 , 26.829460 , 2.170540, 0.000000, 48.652321, 1000.000000
25 , 2.133919 , 26.952152 , 2.047848, 0.000000, 50.710751, 1000.000000
26 , 2.139560 , 26.780384 , 2.219616, 0.000000, 52.791637, 1000.000000
27 , 2.136337 , 26.878536 , 2.121464, 0.000000, 54.907215, 1000.000000
28 , 2.136337 , 26.878536 , 2.121464, 0.000000, 56.971649, 1000.000000
29 , 2.133919 , 26.952152 , 2.047848, 0.000000, 58.997250, 1000.000000
30 , 2.133919 , 26.952152 , 2.047848, 0.000000, 60.984055, 1000.000000
31 , 2.130696 , 27.050304 , 1.949696, 0.000000, 62.919846, 1000.000000
32 , 2.131502 , 27.025766 , 1.974234, 0.000000, 64.816933, 1000.000000
33 , 2.139560 , 26.780384 , 2.219616, 0.000000, 66.846947, 1000.000000
34 , 2.131502 , 27.025766 , 1.974234, 0.000000, 68.874931, 1000.000000
35 , 2.134725 , 26.927614 , 2.072386, 0.000000, 70.827339, 1000.000000
36 , 2.133114 , 26.976690 , 2.023310, 0.000000, 72.802307, 1000.000000
37 , 2.133919 , 26.952152 , 2.047848, 0.000000, 74.763046, 1000.000000
38 , 2.133919 , 26.952152 , 2.047848, 0.000000, 76.734085, 1000.000000
39 , 2.141978 , 26.706770 , 2.293230, 0.000000, 78.825722, 1000.000000
40 , 2.134725 , 26.927614 , 2.072386, 0.000000, 80.927521, 1000.000000
41 , 2.133919 , 26.952152 , 2.047848, 0.000000, 82.904655, 1000.000000
42 , 2.133919 , 26.952152 , 2.047848, 0.000000, 84.867546, 1000.000000
